,token,expiry,strike
0,48770,13APR2023,40000
1,48772,13APR2023,40100
2,48776,13APR2023,40200
3,48778,13APR2023,40300
4,48780,13APR2023,40400
5,48785,13APR2023,40500
6,48787,13APR2023,40600
7,48789,13APR2023,40700
8,48792,13APR2023,40800
9,48795,13APR2023,40900
10,48798,13APR2023,41000
11,48800,13APR2023,41100
12,48802,13APR2023,41200
13,48804,13APR2023,41300
14,48806,13APR2023,41400
15,48809,13APR2023,41500
16,48812,13APR2023,41600
17,48814,13APR2023,41700
18,48816,13APR2023,41800
19,48818,13APR2023,41900
20,48821,13APR2023,42000
