,token,expiry,strike
0,38741,06APR2023,38900
1,38745,06APR2023,39000
2,38747,06APR2023,39100
3,38749,06APR2023,39200
4,38753,06APR2023,39300
5,38758,06APR2023,39400
6,38760,06APR2023,39500
7,38766,06APR2023,39600
8,38768,06APR2023,39700
9,38770,06APR2023,39800
10,38772,06APR2023,39900
11,38776,06APR2023,40000
12,38778,06APR2023,40100
13,38780,06APR2023,40200
14,38782,06APR2023,40300
15,38784,06APR2023,40400
16,38786,06APR2023,40500
17,38788,06APR2023,40600
18,38796,06APR2023,40700
19,38801,06APR2023,40800
20,38803,06APR2023,40900
