,token,expiry,strike
0,38771,06APR2023,39800
1,38773,06APR2023,39900
2,38777,06APR2023,40000
3,38779,06APR2023,40100
4,38781,06APR2023,40200
5,38783,06APR2023,40300
6,38785,06APR2023,40400
7,38787,06APR2023,40500
8,38789,06APR2023,40600
9,38799,06APR2023,40700
10,38802,06APR2023,40800
11,38804,06APR2023,40900
12,38811,06APR2023,41000
13,38813,06APR2023,41100
14,38818,06APR2023,41200
15,38821,06APR2023,41300
16,38826,06APR2023,41400
17,38830,06APR2023,41500
18,38832,06APR2023,41600
19,38834,06APR2023,41700
20,38836,06APR2023,41800
