,token,expiry,strike
0,38746,06APR2023,39000
1,38748,06APR2023,39100
2,38752,06APR2023,39200
3,38755,06APR2023,39300
4,38759,06APR2023,39400
5,38762,06APR2023,39500
6,38767,06APR2023,39600
7,38769,06APR2023,39700
8,38771,06APR2023,39800
9,38773,06APR2023,39900
10,38777,06APR2023,40000
11,38779,06APR2023,40100
12,38781,06APR2023,40200
13,38783,06APR2023,40300
14,38785,06APR2023,40400
15,38787,06APR2023,40500
16,38789,06APR2023,40600
17,38799,06APR2023,40700
18,38802,06APR2023,40800
19,38804,06APR2023,40900
20,38811,06APR2023,41000
